辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,I,からっぽ,空っぽ,カラッポ,名詞-普通名詞-形状詞可能,,,カラッポ,カラッポ,和,からっぽ,カラッポ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,あの,彼の,アノ,連体詞,,,アノ,アノ,和,あの,アノ
現代語,I,感じ,感ずる,カンズル,動詞-一般,サ行変格,連用形-一般,カンジ,カンジ,混,感ずる,カンズル
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,少し,少し,スコシ,副詞,,,スコシ,スコシ,和,少し,スコシ
現代語,I,近い,近い,チカイ,形容詞-一般,形容詞,終止形-一般,チカイ,チカイ,和,近い,チカイ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,パチッ,ぱち,パチ,副詞,,,パチッ,パチッ,和,パチッ,パチッ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,眼,目,メ,名詞-普通名詞-一般,,,メ,メ,和,眼,メ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,さめる,覚める,サメル,動詞-一般,下一段-マ行,連体形-一般,サメル,サメル,和,さめる,サメル
現代語,I,なんて,なんて,ナンテ,助詞-副助詞,,,ナンテ,ナンテ,和,なんて,ナンテ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,あれ,彼れ,アレ,代名詞,,,アレ,アレ,和,あれ,アレ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,嘘,嘘,ウソ,名詞-普通名詞-一般,,,ウソ,ウソ,和,嘘,ウソ
現代語,I,だ,だ,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,濁っ,濁る,ニゴル,動詞-一般,五段-ラ行,連用形-促音便,ニゴッ,ニゴッ,和,濁る,ニゴル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,濁っ,濁る,ニゴル,動詞-一般,五段-ラ行,連用形-促音便,ニゴッ,ニゴッ,和,濁る,ニゴル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,うち,内,ウチ,名詞-普通名詞-副詞可能,,,ウチ,ウチ,和,うち,ウチ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,だんだん,段々,ダンダン,副詞,,,ダンダン,ダンダン,漢,だんだん,ダンダン
現代語,I,澱粉,澱粉,デンプン,名詞-普通名詞-一般,,,デンプン,デンプン,漢,澱粉,デンプン
現代語,I,でんぷん,澱粉,デンプン,名詞-普通名詞-一般,,,デンプン,デンプン,漢,でんぷん,デンプン
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,下,下,シタ,名詞-普通名詞-一般,,,シタ,シタ,和,下,シタ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,沈み,沈む,シズム,動詞-一般,五段-マ行,連用形-一般,シズミ,シズミ,和,沈む,シズム
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,少し,少し,スコシ,副詞,,,スコシ,スコシ,和,少し,スコシ
現代語,I,ずつ,ずつ,ズツ,助詞-副助詞,,,ズツ,ズツ,和,ずつ,ズツ
現代語,I,上澄,上澄み,ウワズミ,名詞-普通名詞-一般,,,ウワズミ,ウワズミ,和,上澄,ウワズミ
現代語,I,うわずみ,上澄み,ウワズミ,名詞-普通名詞-一般,,,ウワズミ,ウワズミ,和,うわずみ,ウワズミ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,出来,出来る,デキル,動詞-非自立可能,上一段-カ行,連用形-一般,デキ,デキ,和,出来る,デキル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,やっと,漸と,ヤット,副詞,,,ヤット,ヤット,和,やっと,ヤット
現代語,I,疲れ,疲れる,ツカレル,動詞-一般,下一段-ラ行,連用形-一般,ツカレ,ツカレ,和,疲れる,ツカレル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,眼,目,メ,名詞-普通名詞-一般,,,メ,メ,和,眼,メ
